,species,question,answer,category,pred,optimized_pred
0,넙치,형태적 특징이 뭐야?,"몸은 긴 타원형이고 입은 넙치속의 다른 어종에 비하여 대단히 크다. 윗턱의 끝은 눈보다 후방에 있고 양턱의 이빨은 강하다. 유안(有眼, 눈이 있는 쪽)측의 비늘은 빗비늘이고, 무안(無眼, 눈이 없는 쪽)측의 비늘은 둥근비늘이다. 넙치는 서식하는 지역(주위 환경)에 따라 몸의 색을 변화시켜 자신을 보호하는 성질(보호색)이 뚜렷하다. 일반적으로 유안측은 암갈색으로 유백색의 작은 반점 및 흑갈색의 무늬가 산재해있고(그림 1-1), 무안측은 흰색이다.",fish,"넙치의 몸은 긴 타원형이고 입은 넙치속의 다른 어종에 비하여 대단히 크다. 윗턱의 끝은 눈보다 후방에 있고 양턱의 이빨은 강하다. 유안측의 비늘은 빗비늘이고, 무안측의 비늘은 둥근비늘이다. 


","넙치는 긴 타원형이고 입은 넙치속의 다른 어종에 비하여 대단히 크다. 윗턱의 끝은 눈보다 후방에 있고 양턱의 이빨은 강하다. 유안측의 비늘은 빗비늘이고, 무안측의 비늘은 둥근비늘이다. 


"
1,넙치,사육 수온이 몇 도야?,21~24℃,fish,"사육 수온은 15∼22℃이다. 


","사육 수온은 21∼24℃가 적정하며, 사료효율이 가장 높은 수온은 18∼24℃이다. 


"
2,넙치,자어일 때 먹이가 뭐야?,"식물플랑크톤, 동물플랑크톤(로티퍼, 알테미아)",fish,"자어는 로티퍼나 알테미아 유생을 먹이로 섭취한다. 


","넙치 자어는 로티퍼와 알테미아를 먹이로 섭취한다. 


"
3,조피볼락,형태적 특징이 뭐야?,"체색은 암회갈색으로 복부는 연한 빛을 나타내고 몸 옆에는 분명치 않은 흑갈색의 가로띠가 있으며, 눈에는 뒤쪽으로 비스듬하게 2개의 흑색 띠가 있다. 체형은 긴 타원형으로, 꼬리지느러미 뒤끝은 수직형이거나 약간 불록하다. 아래턱이 위턱보다 약간 돌출되어 있으며, 양턱에는 용털 모양의 이빨 대가 있다. 두 눈 사이는 넓고 편평하고, 눈앞 안전골 아래에 단단한 3개의 가시가 있다. 뒷지느러미 2번째 가시는 두껍고 커서 첫 번째 가시보다 약 2배이며, 3번째 가시는 가늘지만 2번째 가시보다는 약간 길다. 가슴지느러미 뒤끝은 항문까지 도달하여, 꼬리지느러미 아래와 양끝부분은 희다. 위턱 뒷부분과 아래턱을 제외하고는 모두 빗비늘로 덮여 있다.",fish,"조피볼락의 형태적 특징은 체색이 암회갈색으로 복부는 연한 빛을 나타내고 몸 옆에는 분명치 않은 흑갈색의 가로띠가 있으며, 눈에는 뒤쪽으로 비스듬하게 2개의 흑색 띠가 있다. 체형은 긴 타원형으로, 꼬리지느러미 뒤끝은 수직형이거나 약간 볼록하다. 아래턱이 위턱보다 약간 돌출되어 있으며, 양턱에는 융털 모양의 이빨 띠가 있다. 두 눈 사이는 좁다. 


","조피볼락의 형태적 특징은 다음과 같습니다. 산출직후에는 크기가 6.25±0.08mmTL이며 유구가 하나 있고 난황이 존재하며 입과 항문이 열려있고 추광성을 보입니다. 산출 3일째에는 크기가 6.25±0.10mmTL로 난황이 거의 흡수되고 먹이 공급이 시작됩니다. 산출 6일째에는 크기가 7.62±0.13mmTL로 난황과 유구가 완전히 흡수되고 먹이생물 섭식이 활발해지며 후기 자어기로 이행합니다. 산출 11일째에는 크기가 8.35±0.14mmTL로 가슴과 꼬리지느러미 줄기가 분화되고 척색이 위로 향해 굽어집니다. 산출 18일째에는 크기가 10.88±0.14 mmTL로 등지느러미에 극조가 형성되고 상하악골에 작은 이빨이 발달합니다. 산출 25일째에는 크기가 13.23±0.21 mmTL로 흑색소포 크기가 작아지고 수가 증가합니다. 


"
4,조피볼락,양식 수온이 뭐야?, 15~18°C,fish,"양식 수온은 생명현상의 71초는 생체내의 화학적 변화라 할 수 있으며，01들 화학적 변화는 생체내 각종 효소에 의해서 촉매되는데 효소 반응은 온도에 강하게 영향을 받는다. 따라서 수온의 급변은 체온의 변화를 야기시키고，어체내의 생체반응속도를 변화시키므로서 효소활성의 부조화로 어체에 강한 스트레스를 일으킬 수 있으며，질병에 대한 내병성이 약해지고 심하면 폐사에 까지 이르도록 한다.  


","양식 수온은 조피볼락의 경우 15~20°C에서 가장 좋으며, 23°C 이상이 되면 먹이 섭취량이 줄어들고, 25°C 이상의 고수온에서는 생리기능이 현저히 떨어진다. 


"
5,조피볼락,자어일 때 먹이가 뭐야?,"클로렐라, 로티퍼, 알테미아, 티그리오푸스, 코페포다, 천연 플랑크톤",fish,"자어일 때 먹이는 로티퍼 입니다. 


","조피볼락 자어는 초기에는 로티퍼와 알테미아 부화 유생을 주로 먹이로 사용하며, 배합사료를 동시에 공급하여 먹이 붙임을 시작한다. 


"
6,뱀장어,형태적 특징이 뭐야?,"뱀장어는 몸이 가늘고 긴 원통형이고, 꼬리는 옆으로 납작하다. 작은 비늘이 있으나 몸에 묻혀 있는 것처럼 보인다. 아래턱이 위턱보다 길고 배지느러미는 없으며 등지느러미와 꼬리지느러미 그리고 뒷지느러미가 서로 연결되어 있다. 등쪽은 암갈색 또는 흑갈색이고 배쪽으로 갈수록 흰색이나 연한 황색을 보인다. 특히 바다로 내려가는 하구에서 더 짙은 흑색으로 변하고 배쪽은 짙은 황색을 띤다.",fish,"주어진 정보에는 형태적 특징에 대한 내용이 없습니다. 


","주어진 정보에는 형태적 특징에 대한 내용이 없습니다. 


"
7,뱀장어,양식 수온이 뭐야?, 25~29℃,fish,"주어진 텍스트에는 양식 수온에 대한 정보가 없습니다.



","주어진 텍스트에는 양식 수온에 대한 정보가 없습니다.



"
8,뱀장어,자어일 때 먹이가 뭐야?,"X, 실험에 사용하는 먹이(상어 난황을 기반으로 한 자어용 액상사료)만 있음",fish,"주어진 텍스트에는 자어의 먹이에 대한 정보가 없습니다. 


","주어진 텍스트에는 자어의 먹이에 대한 정보가 없습니다. 


"
9,무지개송어,형태적 특징이 뭐야?,"무지개송어는 형태적으로 가운데가 굵고 앙 끝이 가는 방추형(fusiform)의 체형을 가지고 있으며, 체잭 (body coloration)은 황록색에서 따란색으로 체형의 가운데 길게 늘어진 측편(lateral line)은 분홍색을 띠고 있다. 담수에서는 몸을 따라 분흥색 또는 붉은색의 띠(band)가 몸을 따라 확장되어 있으며, 몸과 등지느러미, 꼬리에 검은색, 암팩, 연두색, 갈색의 점들이 있다.",fish,"무지개송어는 형태적으로 가운데가 굵고 앙 끝이 가는 방추형(fusiform)의 체형을 가지고 있으며, 체색(body coloration)은 황록색에서 잿색으로 체형의 가운데 길게 늘어진 측편(lateral line)은 분홍색을 띠고 있다. 담수에서는 몸을 따라 분홍색 또는 붉은색의 띠(band)가 몸을 따라 확장되어 있으며, 몸과 등지느러미, 꼬리에 검은색, 암팩, 연두색, 갈색의 점들이 있다. 해수와 기수에서는 측편 위에 검은점을 나타내고, 지느러미와 몸에는 작은 검은 점들로 덮여져 있다. 


","무지개송어는 형태적으로 가운데가 굵고 앙 끝이 가는 방추형(fusiform)의 체형을 가지고 있으며, 체색(body coloration)은 황록색에서 따란색으로 체형의 가운데 길게 늘어진 측편(lateral line)은 분홍색을 띠고 있다. 


"
10,무지개송어,성장 적온이 몇 도야?, 10∼20℃,fish,"무지개송어의 성장 적온은 15℃ 전후입니다. 
","무지개송어의 성장 적온은 10~20℃ 입니다. 


"
11,무지개송어,자어일 때 먹이가 뭐야?,"송어용 배합사료와 영양제, 실지렁이나 계란노른자 찐 것, 소 돼지의 생간, 곤쟁이",fish,"자어는 실지렁이, 계란노른자, 소, 돼지의 생간, 곤쟁이 등을 갈아서 공급받는다. 


","자어는 난황을 흡수하고 부상기를 맞이하면 먹이를 찾게 되는데, 이때부터 사료를 공급해야 한다. 


"
12,강도다리,형태적 특징이 뭐야?,"저서성 어류로서 체형이 납작하다. 몸은 마름모꼴이고, 체장은 체고의 1.8배 전후이다. 유안측은 어두운 흑갈색이고, 옆줄은 주새개골 위에서 시작하여 몸의 중앙을 일직선으로 달리는데 가슴지느러미 부위에서는 둥쪽으로 활처럼 휘어 조금 구부러져 있다. 꼬리지느러미는 완만한 둥근형이다. 무안측(몸의 오른쪽)은 흰색이며, 지느러미에 검은색 무늬가 특징이다.",fish,"강도다리는 저서성 어류로서 체형이 납작하다. 몸은 마름모꼴이고, 체장은 체고의 1.8배 전후이다. 


","강도다리는 저서성 어류로서 체형이 납작하다. 몸은 마름모꼴이고, 체장은 체고의 1.8배 전후이다. 유안측은 어두운 흑갈색이고, 옆줄은 주새개골 위에서 시작하여 몸의 중앙을 일직선으로 달리는데 가슴지느러미 부위에서만 등쪽으로 활처럼 휘어 조금 구부러져 있다. 꼬리지느러미 끝부분까지 발달한다. 무안측(몸의 오른쪽)은 흰색이며, 지느러미에 검은색 무늬가 특징이다. 머리와 몸은 수 십 개의 가시를 가진 특화된 비늘로 덮여 있으며, 비늘은 작고 조잡하여 별 모양으로 산재해 있다. 등지느러미와 뒷지느러미의 기저에는 거친 작은 골성(물性)의 융기가 줄지어 있으며, 등지느러미와 뒷지느러미는 황색 바탕에 5〜8개의 짙은 갈색띠가 있고, 꼬리지느러미에는 3〜5줄의 짙은 갈색 세로띠가 있는 것이 특징이다. 


"
13,강도다리,사육 수온이 몇 도야?,13~18°C,fish,"사육 수온은 11℃, 5℃, 10℃ 등 다양합니다. 


","사육 수온은 특별히 가온할 필요는 없으며 사육 적수온은 13~18℃ 입니다. 


"
14,강도다리,자어일 때 먹이가 뭐야?,"로티퍼, 식물플랑크톤, 알테미아",fish,"자어는 부화 직후에는 난황으로부터 영양을 취하며, 3일 정도 지나면 눈이 발달하고 입이 열리며 소화관도 발달하여 로티퍼를 먹이로 시작한다. 




","강도다리 자어는 부화 후 3일 정도 지나면 먹이를 찾기 시작하며, 초기에는 영양강화된 로티퍼를 사육수 1 mL당 2~3마리의 밀도로 공급한다. 
"
15,숭어,형태적 특징이 뭐야?,"몸이 둥글고 긴 측편형이며 머리는 납작하다. 홍채는 흰색을 띄어 전반적으로 검게 보인다. 눈은 투명한 막으로 보호받고 있는데, 이 기름눈꺼풀은 계절에 따라 크기가 달라지며 늦여름부터 차츰 커지기 시작하여 겨울에는 거의 눈 전체를 덮게 되므로 맹목(盲目)처럼 보인다. 턱에는 아주 작은 바늘 모양의 2열의 이빨이 있다. 머리와 몸의 등쪽은 회청색, 배쪽은 은백색을 띤다.",fish,"주어진 텍스트에는 숭어의 형태적 특징에 대한 정보가 없습니다. 


","숭어는 표 2-1에서 보는 바와 같이, 서해안을 비롯한 남해안 일대에서 대량 양식이 이루어지고 있다. 숭어는 그림 2-6과 같이 눈과 꼬리 형태가 특징적이다. 


"
16,숭어,성장 적수온이 몇 도야?,17~27°C,fish,"성장 적수온은 17~27℃ 입니다. 


","성장 적수온은 자•치어의 경우 20~27°C (최적 22~26°C) 입니다. 


"
17,숭어,자어일 때 먹이가 뭐야?,"로티퍼, 알테미아 노우플리우스, 배합사료",fish,"자어는 부화 3일 후 난황을 흡수한 뒤 동물플랑크톤 및 작은 유기물을 섭취한다. 


","자어는 부화 후 2일 난황이 흡수되고 입이 열리면 로티퍼를 먹이로 섭취한다. 


"
18,향어,형태적 특징이 뭐야?,"지느러미는 일반 경골어류와 같이 외지느러미로 등지느러미, 뒷지느러미, 꼬리지느러미가 있고, 짝지느러미로 가슴지느러미와 배지느러미가 있다. 입에는 붕어에서 볼 수 있는 이빨이 없으며 잇주둥치에 한 쌍의 수염(촉수)이 나와 있다. 비늘은 등근비늘로 퇴화되어 거의 없거나 등지느러미 기부 또는 꼬리 부근에 일부 산재해 있다. 아가미를 덮고 있는 부분을 아가미뚜껑이라 하는데, 아가미뚜껑 속에는 뻣 모양의 아가미가 4쌍 있다.",fish,"형태적 특징은 평, 1) 평의 특징 등이 있다. 


","향어의 형태적 특징은 몸통이 길고 옆으로 납작하며, 측면에서 볼 때 몸이 휘어져 있다. 
    
"
19,향어,성장 적수온이 몇 도야?,24~28°C,fish,"향어의 성장 적수온 범위가 넓을수록, 또 기간이 길수록 성장률이 높다. 


","성장 적수온은 24~28℃ 입니다. 


"
20,향어,자어일 때 먹이가 뭐야?,"작은 윤충류나 짚신벌레, 찐 계란 노른자 → 요각류 지각류 알테미아 인공배합사료",fish,"자어는 0.4mm 이하의 작은 윤중류(Rotifers)나 짚신벌레(Paramecium)와 같은 원생동물을 먹는다. 만일 적당한 먹이가 없을 때에는 찐 계란 노른자를 일시적으로 공급할 수도 있다. 


","자어는 부화 후 3~4일이 지나 난황이 흡수되고 입이 열리면서 외부로부터 먹이를 섭취하게 된다. 


"
21,돔류,형태적 특징이 뭐야?,공통적으로 타원형에 납작함.등의 외곽이 올라가 있으면서 두께가 얇고 폭이 넓어 납작한 편이다. 몸 빛깔은 일반적으로 등 쪽부터 담홍색을 띠는데 배 쪽으로 가면서 색깔이 연해진다. 등 쪽에는 청록색 반점이 많이 흩어져 있다.몸은 타원형으로서 두께가 얇고 폭이 넓어 납작하며 주둥이는 약간 돌출되어 있다. 몸 빛깔은 금속광택을 띈 회흑색인데 배 쪽이 연하다. 옆구리에는 가로로 그어진 가늘고 희미한 띠 같은 무늬가 여러 개 있다. 몸은 타원형으로 체고가 매우 높으며 두께가 얇고 폭이 넓어 납작하다. 몸 빛깔은 청흑색에 가까운 진한 흑색으로 눈부터 꼬리지느러미까지 7개의 분명한 흑색 가로띠가 있다.,fish,"돔류는 바늘처럼 보이는 20여 개의 등지느러미를 가지고 있다. 


","돌돔은 타원형으로 체고가 매우 높으며 두께가 얇고 폭이 넓어 납작하다. 몸 빛깔은 청흑색에 가까운 연한 흑색으로 눈부터 꼬리지느러미까지 7개의 분명한 흑색 가로띠가 있다. 반면에 주등이 부분이 검게 변한다. 
"
22,돔류,성장 적수온이 몇 도야?,"18~25°C, 17~25°C, 22~26°C",fish,"성장 적수온은 표 2-2에서 확인할 수 있습니다. 


","참돔의 성장 적수온은 18~25℃입니다. 감성돔의 성장 적수온은 17~25℃이고, 돌돔의 성장 적수온은 10~29℃입니다. 


"
23,돔류,자어일 때 먹이가 뭐야?,"로티퍼, 알테미아, 코페포다, 해수 클로렐라",fish,"돌돔 자어의 초기 먹이생물은 작은 코페포다가 가장 좋다. 


","돌돔 자어는 초기에는 작은 코페포다가 가장 좋은 먹이이다. 


"
24,메기,형태적 특징이 뭐야?,"메기의 체형은 서식환경에 적응되어 나타난 형태로 몸은 긴 원통형이며 머리 부분은 위아래로 납작한 반면 몸통은 옆으로 납작한 형태이다. 눈은 작으며 두 눈 사이가 매우 넓다. 몸에 비늘은 없으나 옆면에는 촉선관이 있으며, 점액질을 분비하여 몸을 보호한다. 입은 가로로 상당히 커서 먹이를 공격하기에 적당하며 뭉툭한 아래턱이 위턱보다 튀어나와서 자기보다 작은 먹이를 물고 찢는데 적합하게 되어 있다.",fish,"주어진 텍스트에는 메기의 형태적 특징에 대한 설명이 없습니다. 


","메기의 체형은 서식환경에 적응되어 나타난 형태로 몸은 긴 원통형이며 머리 부분은 위아래로 납작한 반면 몸통은 옆으로 납작한 형태이다. 눈은 작으며 두 눈 사이가 매우 넓다. 몸에 비늘은 없으나 옆면에는 측선관이 있으며 점액질을 분비하여 몸을 보호한다. 입은 가로로 상당히 커서 먹이를 공격하기에 적당하며 뭉툭한 아래턱이 위턱보다 넓다. 


"
25,메기,성장 적수온이 몇 도야?,24~30°C,fish,"성장 적수온은 24~30도입니다. 


","메기의 성장 적수온은 24〜30도 입니다. 


"
26,메기,자어일 때 먹이가 뭐야?,"알테미아, 치어용 초기 배합사료",fish,"자어는 난황을 통해 영양을 공급받는다. 난황이 흡수되고 입이 열리면 알테미아를 먹이로 사용한다. 


","자어는 난황을 달고 있기 때문에 난황을 통해 영양을 공급받는다. 


"
27,황복,형태적 특징이 뭐야?,"항어를 포함한 잉어류의 외부 형태 및 내부 구조는 그림 2-4와 같다. 지느러미는 일반 경골어류와 같이 외지느러미로 등지느러미, 뒷지느러미, 꼬리지느러미가 있고, 짝지느러미로 가슴지느러미와 배지느러미가 있다. 입에는 붕어에서 볼 수 있는 이빨이 없으며 잇주둥치에 한 쌍의 수염(촉수)이 나와 있다. 비늘은 등근비늘로 퇴화되어 거의 없거나 등지느러미 기부 또는 꼬리 부근에 일부 산재해 있다. 아가미를 덮고 있는 부분을 아가미뚜껑이라 하는데, 아가미뚜껑 속에는 뻣 모양의 아가미가 4쌍 있다. 뒷지느러미 아래는 흰색이다. 황복의 빛깔은 등쪽이 짙은 회갈색이고 선이나 점으로 된 백색의 가로띠가 여러 개 있는 개체도 있으며 배부분과 뒷지느러미 기부는 미색 또는 흰색이다.",fish,"황복은 모래를 파고드는 습성이 있으며, 복어는 항상 복부를 아래로 하여 해저에 앉아있는데 신체를 좌우로 격렬하게 흔들어 모래에 묻히려고 한다. 


","황복의 몸은 복어형으로 두텁고 둥글며 입은 작고 좌우로 각각 2개가 밀착되어 새부리 모양을 하고 있다. 머리는 넓고 원통형이며 눈 앞에 있는 콧구멍은 2개로 짧으면서 융기되어 있다. 눈동자와 등지느러미는 밖으로 나와 있다. 


"
28,황복,서식 수온이 몇 도야?,15~22°C,fish,"서식 수온은 20~30℃ 입니다. 


","서식 수온은 15~28℃ 입니다. 


"
29,황복,자어일 때 먹이가 뭐야?,"로티퍼, 알테미아, 물벼룩, 실지렁이, 물벼룩, 곤쟁이, 바지락, 배합사료",fish,"자어는 부화한 후 난황이 절반 정도 흡수되고 체장이 300㎛가 되었을 때 로티퍼를 10~20개체/㎛㎖로 공급받는다. 


","자어는 부화 후 1일부터 로티퍼를 먹고, 4~16일까지는 알테미아 유생과 요각류를 주로 먹는다. 12~32일까지는 알테미아 유생과 요각류를 계속 먹고, 26~36일부터는 알테미아 양성 성체를 섞어 먹인다. 30~55일까지는 해동 새우 부스러기, 분쇄 어육 등을 섞어 먹인다. 


"
30,비단잉어,종류가 뭐가 있어?,"홍백, 소화삼색, 대정삼색, 단정, 황금과 백금, 백사와 백별광, 오색과 의, 공작, 천황과 추취, 구문룡과 독일계, 오치바 쉬구레(낙엽)",fish,"비단잉어의 종류는 홍백, 소화삼색, 대정삼색, 단정, 황금, 백금, 오색과의, 공작, 천황과추취, 구문룡과키코쿠류, 낙엽입니다. 


","비단잉어의 종류는 홍백, 소화삼색, 대정삼색, 단정, 황금, 백금, 백사, 백별광, 오색과의, 공작, 천황과추취, 구문룡과키코쿠류, 오치바쉬구레(낙엽) 입니다. 


"
31,비단잉어,산란 온도가 몇 도야?,18~22°C,fish,"산란 온도는 18℃에서 22℃ 입니다. 


","산란 온도는 18℃에서 합사시킨 후 서서히 22℃까지 올려주면 적당합니다. 


"
32,비단잉어,자어일 때 먹이가 뭐야?,물벼룩,fish,"자어의 먹이는 물벼룩이다. 


","자어일 때 먹이는 물벼룩이다. 


"
33,참굴,형태적 특징이 뭐야?,"참굴의 패각은 원추형 또는 가지모양으로 좌우각 모두 비늘모양의 패각이 중첩되어 성장선을 나타내며, 환경에 따라 패각의 모양이 판이하게 달라진다. 조간대에 서식하는 것은 원추형이나, 물살이 센 곳 또는 내만의 진흙에 사는 것은 가지모양으로 길어진다. 패각은 백색이며, 방사륵은 굵고 골곡져 있고, 중첩된 비늘모양의 끝은 자색을 띤다. 좌각은 우각보다 약간 짧아 각정이 돌출하며, 우각 각정부의 중앙에는 홀이 있다.",shellfish,"지중해담치와 참담치의 경우 각장 170~190, 전후로 각정의 돌출이 현저하며, 각정의 돌출과 함께 등변경사는 앞쪽 경사의 길이가 길어지면서 전•후 대칭의 구도로 변화하고, 유생이 부착기로 성장함에 따라 이러한 현상은 점점 뚜렷해져 전체적으로 복변의 경사가 완만한 타원형의 특징을 나타낸다. 


","참굴의 패각은 원추형 또는 가지모양으로 좌우각 모두 비늘모양의 패각이 중첩되어 성장선을 나타내며, 환경에 따라 패각의 모양이 판이하게 달라진다. 


"
34,참굴,성육 적합 수온이 몇 도야?,20~26°C,shellfish,"성육 적합 수온은 23~25도 입니다. 


","굴의 경우, 성장과 생존율이 높은 적정 수온은 27°C, 30 psu 입니다. 


"
35,참굴,유생 때 먹는 먹이가 뭐야?,"미세조류, 식물성 플랑크톤",shellfish,"유생은 황갈색편모조류 아이소크라이시스 갈바나, 아이소크라이시스 아프 갈바나, 파브로바 루세리, 규조류 케토세로스 칼시트란스, 케토세로스 그라실 리스, 케토세로스 심플렉스, 그리고 녹조류 나노크로롭시스 오큘라타, 테트라셀미스 sp. 등을 먹는다. 


","참굴 유생은 아이소크라이시스 갈바나, 아이소크라이시스 아프 갈바나, 파브로바 루세리, 케토세로스 칼시트란스, 케토세로스 그라실 리스, 케토세로스 심플렉스, 그리고 녹조류 나노크로롭시스 오큘라타, 테트라셀미스 sp. 와 같은 단세포 식물성 먹이생물을 먹습니다. 


"
36,전복,참전복의 형태적 특징이 뭐야?,"이 중 국내 전복양식의 주종은 참전복과 까막전복이며, 참전복은 패각이 긴 타원형으로 어릴 때는 패각에 3~4조의 줄이 나타난다. 호흡공은 3~4개 정도 열려 있고, 패각 바깥쪽은 녹갈색 또는 갈색을 띠며 안쪽은 진주광택을 띤다(원 등, 2014). 한류계로 주로 울릉도를 포함한 중북부해역에 주로 서식하나 남해안과 제주연안에 서식하기도 한다.",shellfish,"참전복은 패각이 얇고 심하게 요철되어 우둘투둘한 형태를 지니고 있다. 


","참전복은 패각이 긴 타원형으로 어릴 때는 패각에 3~4조의 줄이 나타난다. 호흡공은 3~4개 정도 열려 있고, 패각 바깥쪽은 녹갈색 또는 갈색을 띄며 안쪽은 진주광택을 띈다. 


"
37,전복,참전복의 성장 적수온이 몇 도야?,20~24°C,shellfish,"참전복의 성장 적수온은 10.9℃, 16.5℃ 및 20.3℃ 입니다. 


","참전복의 성장 적수온은 20~24℃ 범위입니다. 


"
